管理機關,土地標示名稱,宗地面積（平方公尺）,持分面積（平方公尺）,列帳金額（元）
財政局,臺北市大安區金華段二小段0070-0000,253,50.6,25300000
財政局,臺北市大安區通化段二小段0540-0000,69,46,23552000
財政局,臺北市大安區通化段二小段0560-0000,37,37,13875000
財政局,臺北市大安區懷生段一小段0057-0001,9,9,5222997
財政局,臺北市大安區懷生段一小段0162-0011,10,10,3710000
財政局,臺北市中正區南海段二小段0117-0000,38,38,26109990
財政局,臺北市中正區南海段二小段0119-0000,57,57,28842000
財政局,臺北市中正區南海段二小段0120-0000,18,18,9108000
財政局,臺北市中正區福和段二小段0077-0000,10239,170.56,41957760
財政局,臺北市中正區永昌段一小段0167-0000,5,5,1720000
財政局,臺北市中正區永昌段一小段0168-0000,7,7,2408000
財政局,臺北市中正區永昌段一小段0171-0000,8,8,2752000
財政局,臺北市中正區永昌段一小段0172-0000,12,12,4128000
財政局,臺北市中正區永昌段一小段0175-0000,44,44,15136000
財政局,臺北市中正區永昌段一小段0177-0000,37,37,12728000
財政局,臺北市中正區永昌段一小段0179-0000,47,47,16168000
財政局,臺北市中正區永昌段一小段0180-0000,14,14,4816000
財政局,臺北市中正區永昌段一小段0183-0000,87,87,29928000
財政局,臺北市中正區永昌段一小段0184-0000,56,56,19311992
財政局,臺北市中正區永昌段一小段0185-0000,94,94,33775986
財政局,臺北市中正區永昌段一小段0190-0000,43,43,15096010
財政局,臺北市中正區永昌段一小段0191-0000,8,8,2880000
財政局,臺北市中正區永昌段一小段0191-0002,3,3,1032000
財政局,臺北市中正區永昌段一小段0322-0000,5,5,1145000
財政局,臺北市中正區永昌段一小段0390-0000,1,1,345000
財政局,臺北市中正區永昌段二小段0540-0000,4,4,1192000
財政局,臺北市中正區永昌段二小段0541-0000,7,7,2086000
財政局,臺北市中正區永昌段三小段0033-0002,6,6,2178000
財政局,臺北市中正區永昌段三小段0333-0005,18,18,6066000
財政局,臺北市中正區永昌段三小段0333-0007,41,41,13817000
財政局,臺北市中正區永昌段三小段0565-0000,85,85,19465000
財政局,臺北市中正區永昌段三小段0584-0000,91,91,20839000
財政局,臺北市中正區永昌段三小段0642-0000,48,48,17156016
財政局,臺北市中正區永昌段四小段0167-0002,114,114,37403970
財政局,臺北市中正區永昌段四小段0240-0000,132,132,40781004
財政局,臺北市中正區永昌段四小段0240-0003,142,142,44370030
財政局,臺北市中正區永昌段四小段0318-0004,21,21,8274000
財政局,臺北市中正區永昌段四小段0318-0005,172,172,67768000
財政局,臺北市中正區永昌段四小段0499-0000,9,9,2061000
財政局,臺北市中正區永昌段五小段0044-0001,107,107,32811015
財政局,臺北市中正區永昌段五小段0095-0000,1,1,295000
財政局,臺北市中正區永昌段五小段0097-0000,6,6,1770000
財政局,臺北市中正區永昌段五小段0098-0000,1,1,295000
財政局,臺北市中正區永昌段五小段0190-0003,19,19,4351000
財政局,臺北市中正區永昌段五小段0197-0003,81,81,18549000
財政局,臺北市中正區永昌段五小段0197-0004,2,2,458000
財政局,臺北市中正區永昌段五小段0225-0001,1,1,337000
財政局,臺北市中正區永昌段五小段0225-0002,4,4,916000
財政局,臺北市中正區永昌段五小段0380-0003,20,20,4580000
財政局,臺北市中正區永昌段五小段0380-0004,82,82,18778000
財政局,臺北市中正區永昌段五小段0380-0005,56,56,17144008
財政局,臺北市中正區永昌段五小段0468-0000,41,41,12095000
財政局,臺北市中正區永昌段五小段0468-0005,7,7,2065000
財政局,臺北市中正區永昌段五小段0468-0010,13,13,3835000
財政局,臺北市中正區永昌段五小段0469-0000,1319,1319,342831842
財政局,臺北市中正區永昌段五小段0469-0001,36,36,8244000
財政局,臺北市中正區永昌段五小段0469-0002,30,30,6870000
財政局,臺北市中正區永昌段五小段0482-0000,45,45,10305000
財政局,臺北市中正區永昌段五小段0483-0000,48,48,10992000
財政局,臺北市中正區永昌段五小段0484-0000,46,46,10534000
財政局,臺北市中正區永昌段五小段0485-0000,54,54,12366000
財政局,臺北市中正區永昌段五小段0485-0001,7,7,1603000
財政局,臺北市中正區永昌段五小段0487-0000,47,47,10763000
財政局,臺北市中正區永昌段五小段0505-0003,18,18,6066000
財政局,臺北市中正區永昌段五小段0505-0004,18,18,6066000
